iter	Passed	Remaining
399	27924	41886
400	27975	41789
401	28022	41685
402	28069	41581
403	28152	41532
404	28198	41427
405	28242	41320
406	28324	41269
407	28402	41212
408	28445	41103
409	28522	41044
410	28602	40989
411	28645	40882
412	28688	40775
413	28734	40673
414	28784	40575
415	28835	40480
416	28905	40412
417	28965	40329
418	29022	40243
419	29070	40144
420	29169	40116
421	29225	40028
422	29279	39939
423	29346	39866
424	29405	39784
425	29466	39704
426	29548	39652
427	29613	39577
428	29667	39487
429	29781	39477
430	29858	39418
431	29944	39371
432	29992	39273
433	30095	39249
434	30167	39183
435	30228	39102
436	30278	39008
437	30326	38911
438	30409	38860
439	30504	38823
440	30546	38720
441	30594	38624
442	30638	38523
443	30720	38470
444	30781	38390
445	30928	38417
446	30981	38328
447	31027	38230
448	31081	38142
449	31139	38059
450	31195	37974
451	31249	37886
452	31304	37799
453	31361	37716
454	31408	37620
455	31463	37535
456	31520	37451
457	31568	37358
458	31650	37304
459	31699	37212
460	31755	37127
461	31804	37036
462	31896	36994
463	31940	36897
464	32005	36823
465	32053	36731
466	32125	36665
467	32173	36573
468	32237	36498
469	32279	36400
470	32334	36316
471	32401	36245
472	32452	36157
473	32514	36081
474	32567	35995
475	32647	35939
476	32693	35846
477	32778	35796
478	32845	35725
479	32890	35631
480	32945	35548
481	33001	35465
482	33051	35377
483	33099	35288
484	33180	35232
485	33261	35177
486	33323	35103
487	33378	35019
488	33433	34938
489	33510	34878
490	33589	34821
491	33647	34741
492	33695	34652
493	33740	34560
494	33792	34474
495	33853	34399
496	33901	34311
497	33948	34221
498	34032	34168
499	34076	34076
500	34137	34001
501	34216	33944
502	34298	33888
503	34370	33824
504	34416	33734
505	34500	33681
506	34578	33623
507	34688	33595
508	34732	33504
509	34774	33411
510	34837	33337
511	34886	33251
512	34966	33194
513	35015	33108
514	35076	33033
515	35128	32950
516	35196	32882
517	35249	32799
518	35303	32718
519	35393	32671
520	35444	32586
521	35502	32510
522	35557	32429
523	35610	32348
524	35677	32279
525	35745	32212
526	35812	32142
527	35862	32058
528	35933	31993
529	35988	31914
530	36077	31865
531	36214	31858
532	36280	31787
533	36328	31702
534	36374	31615
535	36430	31536
536	36507	31476
537	36590	31421
538	36662	31357
539	36732	31290
540	36784	31208
541	36843	31133
542	36908	31062
543	36950	30972
544	37027	30912
545	37079	30831
546	37132	30751
547	37194	30678
548	37244	30596
549	37313	30529
550	37376	30457
551	37426	30375
552	37486	30300
553	37529	30213
554	37593	30142
555	37638	30056
556	37712	29993
557	37769	29917
558	37837	29850
559	37901	29780
560	37968	29711
561	38039	29646
562	38092	29567
563	38153	29494
564	38215	29422
565	38308	29374
566	38361	29295
567	38458	29250
568	38507	29168
569	38563	29091
570	38674	29056
571	38764	29005
572	38808	28920
573	38873	28850
574	38933	28777
575	38982	28695
576	39028	28611
577	39078	28530
578	39126	28449
579	39177	28369
580	39254	28309
581	39330	28247
582	39375	28163
583	39446	28098
584	39526	28040
585	39579	27962
586	39630	27883
587	39674	27799
588	39735	27727
589	39806	27662
590	39855	27581
591	39927	27517
592	39987	27445
593	40048	27372
594	40097	27293
595	40163	27225
596	40210	27143
597	40258	27063
598	40309	26985
599	40381	26921
600	40430	26841
601	40478	26761
602	40559	26703
603	40662	26659
604	40749	26604
605	40794	26523
606	40859	26454
607	40919	26382
608	40972	26305
609	41029	26232
610	41128	26184
611	41173	26103
612	41220	26023
613	41285	25954
614	41354	25888
615	41420	25820
616	41486	25752
617	41547	25681
618	41596	25603
619	41643	25523
620	41712	25457
621	41777	25388
622	41843	25321
623	41940	25271
624	42002	25201
625	42061	25129
626	42116	25054
627	42175	24983
628	42243	24916
629	42307	24847
630	42387	24787
631	42455	24720
632	42499	24640
633	42567	24573
634	42614	24495
635	42667	24419
636	42751	24362
637	42818	24294
638	42861	24214
639	42904	24133
640	42949	24054
641	43009	23983
642	43068	23912
643	43107	23829
644	43155	23752
645	43205	23675
646	43261	23603
647	43319	23531
648	43427	23487
649	43503	23425
650	43562	23353
651	43630	23287
652	43692	23217
653	43753	23147
654	43812	23076
655	43875	23008
656	43976	22958
657	44074	22908
658	44146	22843
659	44220	22780
660	44295	22717
661	44381	22659
662	44470	22604
663	44541	22538
664	44604	22469
665	44662	22398
666	44709	22321
667	44772	22252
668	44835	22182
669	44896	22113
670	44944	22037
671	45001	21964
672	45062	21895
673	45145	21836
674	45227	21776
675	45310	21716
676	45375	21648
677	45486	21602
678	45541	21529
679	45624	21470
680	45702	21408
681	45773	21343
682	45870	21289
683	45958	21232
684	46064	21183
685	46145	21121
686	46222	21059
687	46301	20997
688	46381	20935
689	46466	20876
690	46571	20825
691	46714	20791
692	46845	20752
693	46992	20720
694	47090	20665
695	47160	20598
696	47222	20528
697	47333	20479
698	47412	20416
699	47476	20346
700	47552	20282
701	47624	20216
702	47673	20140
703	47710	20060
704	47757	19983
705	47830	19918
706	47908	19854
707	47959	19780
708	48052	19722
709	48100	19646
710	48183	19585
711	48264	19522
712	48331	19454
713	48392	19384
714	48465	19318
715	48519	19245
716	48602	19183
717	48647	19106
718	48728	19044
719	48774	18968
720	48819	18891
721	48863	18814
722	48909	18738
723	48968	18667
724	49048	18604
725	49124	18539
726	49191	18472
727	49249	18400
728	49303	18328
729	49384	18265
730	49471	18204
731	49550	18141
732	49623	18075
733	49709	18014
734	49796	17953
735	49879	17891
736	49954	17826
737	50025	17759
738	50089	17690
739	50166	17626
740	50253	17564
741	50336	17502
742	50393	17430
743	50476	17368
744	50540	17298
745	50602	17229
746	50669	17161
747	50726	17089
748	50794	17022
749	50852	16950
750	50918	16882
751	50983	16813
752	51135	16773
753	51218	16710
754	51291	16644
755	51372	16580
756	51457	16518
757	51546	16456
758	51651	16400
759	51729	16335
760	51797	16267
761	51871	16201
762	51964	16140
763	52022	16069
764	52087	16000
765	52157	15933
766	52256	15874
767	52317	15804
768	52366	15730
769	52433	15662
770	52495	15591
771	52564	15524
772	52686	15471
773	52739	15399
774	52814	15333
775	52900	15270
776	52986	15207
777	53078	15145
778	53163	15082
779	53248	15018
780	53318	14951
781	53369	14877
782	53431	14807
783	53513	14743
784	53602	14681
785	53646	14605
786	53711	14536
787	53780	14468
788	53856	14402
789	53930	14335
790	54006	14269
791	54083	14203
792	54166	14139
793	54251	14075
794	54334	14010
795	54411	13944
796	54462	13871
797	54540	13805
798	54591	13733
799	54642	13660
800	54711	13592
801	54765	13520
802	54839	13453
803	54923	13389
804	54969	13315
805	55023	13243
806	55076	13171
807	55121	13098
808	55172	13025
809	55245	12958
810	55353	12899
811	55412	12829
812	55514	12768
813	55622	12709
814	55715	12647
815	55780	12577
816	55847	12509
817	55905	12438
818	55947	12364
819	55987	12289
820	56043	12218
821	56122	12153
822	56213	12089
823	56269	12018
824	56334	11949
825	56386	11877
826	56447	11808
827	56489	11734
828	56536	11661
829	56586	11589
830	56635	11517
831	56711	11451
832	56803	11387
833	56852	11315
834	56930	11249
835	56994	11180
836	57044	11109
837	57090	11036
838	57161	10968
839	57209	10896
840	57257	10825
841	57305	10753
842	57355	10681
843	57406	10610
844	57472	10542
845	57537	10473
846	57598	10404
847	57648	10333
848	57711	10264
849	57776	10195
850	57835	10126
851	57886	10055
852	57927	9982
853	58023	9919
854	58121	9856
855	58165	9784
856	58215	9713
857	58262	9642
858	58326	9573
859	58387	9504
860	58442	9435
861	58502	9365
862	58554	9295
863	58605	9224
864	58674	9157
865	58722	9086
866	58830	9024
867	58891	8955
868	58945	8885
869	59023	8819
870	59097	8752
871	59137	8680
872	59183	8609
873	59226	8538
874	59304	8472
875	59345	8400
876	59396	8330
877	59444	8259
878	59494	8189
879	59541	8119
880	59591	8049
881	59698	7986
882	59746	7916
883	59794	7846
884	59840	7775
885	59882	7705
886	59936	7635
887	60018	7569
888	60091	7502
889	60136	7432
890	60184	7362
891	60227	7292
892	60282	7223
893	60370	7158
894	60431	7089
895	60485	7020
896	60530	6950
897	60582	6881
898	60648	6813
899	60708	6745
900	60757	6675
901	60817	6607
902	60863	6537
903	60913	6468
904	60962	6399
905	61009	6329
906	61053	6260
907	61103	6191
908	61153	6122
909	61200	6052
910	61276	5986
911	61326	5917
912	61404	5851
913	61482	5784
914	61527	5715
915	61557	5645
916	61605	5576
917	61648	5506
918	61699	5438
919	61755	5370
920	61812	5302
921	61860	5233
922	61912	5164
923	61959	5096
924	62036	5029
925	62119	4964
926	62190	4897
927	62235	4828
928	62277	4759
929	62325	4691
930	62375	4622
931	62438	4555
932	62485	4487
933	62539	4419
934	62617	4353
935	62690	4286
936	62732	4217
937	62788	4150
938	62842	4082
939	62899	4014
940	62964	3947
941	63009	3879
942	63055	3811
943	63103	3743
944	63148	3675
945	63201	3607
946	63273	3541
947	63321	3473
948	63370	3405
949	63435	3338
950	63483	3270
951	63530	3203
952	63591	3136
953	63640	3068
954	63712	3002
955	63778	2935
956	63827	2867
957	63886	2800
958	63937	2733
959	64001	2666
960	64058	2599
961	64124	2532
962	64192	2466
963	64260	2399
964	64350	2333
965	64458	2268
966	64553	2202
967	64653	2137
968	64717	2070
969	64772	2003
970	64839	1936
971	64895	1869
972	64975	1803
973	65045	1736
974	65128	1669
975	65201	1603
976	65262	1536
977	65341	1469
978	65394	1402
979	65499	1336
980	65575	1270
981	65627	1202
982	65680	1135
983	65739	1068
984	65793	1001
985	65860	935
986	65957	868
987	66058	802
988	66101	735
989	66162	668
990	66226	601
991	66296	534
992	66343	467
993	66383	400
994	66448	333
995	66507	267
996	66558	200
997	66607	133
998	66676	66
999	66733	0
