iter	Logloss
235	0.6397418661
236	0.6397327516
237	0.6397297007
238	0.6397240828
239	0.639713081
240	0.6397010758
241	0.639687569
242	0.6396812736
243	0.6396761954
244	0.6396635577
245	0.6396511089
246	0.6396408393
247	0.6396281055
248	0.6396267321
249	0.6396203553
250	0.6396064292
251	0.6395946761
252	0.6395897168
253	0.6395787329
254	0.6395650446
255	0.6395587582
256	0.6395545722
257	0.639538309
258	0.6395250674
259	0.6395202643
260	0.6395095095
261	0.6395120662
262	0.6394978717
263	0.6394935189
264	0.639482968
265	0.6394696654
266	0.6394627669
267	0.6394557201
268	0.6394485577
269	0.6394449563
270	0.6394368526
271	0.6394229239
272	0.639417013
273	0.6394096892
274	0.6394028892
275	0.6393950328
276	0.6393900565
277	0.639379404
278	0.6393749678
279	0.6393633049
280	0.6393571255
281	0.6393468746
282	0.6393419784
283	0.6393274129
284	0.6393187679
285	0.6393119289
286	0.6393102664
287	0.6392967904
288	0.6392907315
289	0.6392831882
290	0.6392735942
291	0.6392670668
292	0.6392612531
293	0.6392542584
294	0.6392471784
295	0.6392420497
296	0.6392386398
297	0.6392358365
298	0.6392257598
299	0.6392172836
300	0.6392140748
301	0.6392070924
302	0.6392034071
303	0.6391944625
304	0.6391886628
305	0.6391802543
306	0.6391744359
307	0.6391743288
308	0.6391680333
309	0.6391607723
310	0.6391484909
311	0.639137431
312	0.6391290536
313	0.6391218365
314	0.6391128189
315	0.6391085727
316	0.6390998808
317	0.6390935972
318	0.6390930646
319	0.6390836908
320	0.6390802421
321	0.6390732099
322	0.6390702489
323	0.639063169
324	0.6390529583
325	0.6390494958
326	0.6390423475
327	0.6390401494
328	0.6390334943
329	0.6390265364
330	0.6390233316
331	0.6390124405
332	0.6390080936
333	0.6389960847
334	0.6389929596
335	0.6389801756
336	0.6389709884
337	0.6389652033
338	0.6389594185
339	0.6389548305
340	0.6389499184
341	0.6389425833
342	0.6389332276
343	0.6389194756
344	0.6389140866
345	0.6389009404
346	0.6388936347
347	0.6388818207
348	0.6388640121
349	0.6388533972
350	0.6388528107
351	0.6388463625
352	0.638843504
353	0.6388358352
354	0.6388341972
355	0.6388314032
356	0.6388234205
357	0.6388144842
358	0.6388108931
359	0.6388092809
360	0.638802209
361	0.6387856724
362	0.6387815691
363	0.6387721197
364	0.6387598511
365	0.6387477812
366	0.6387440767
367	0.6387372156
368	0.6387284988
369	0.6387250933
370	0.638723057
371	0.6387135623
372	0.6387069237
373	0.6386976901
374	0.6386974358
375	0.6386909296
376	0.6386794114
377	0.6386727526
378	0.6386657873
379	0.6386607105
380	0.6386498698
381	0.6386477962
382	0.6386429351
383	0.6386295251
384	0.6386162278
385	0.6386059262
386	0.6385989325
387	0.638592792
388	0.6385930681
389	0.6385905274
390	0.6385911333
391	0.6385865059
392	0.6385806282
393	0.6385726778
394	0.6385617301
395	0.6385581439
396	0.6385525023
397	0.6385501965
398	0.6385406985
399	0.638532171
400	0.6385228445
401	0.6385090174
402	0.6385058747
403	0.6385045741
404	0.6384934417
405	0.6384846099
406	0.6384816583
407	0.6384777112
408	0.6384694599
409	0.6384694306
410	0.6384584762
411	0.6384428284
412	0.6384381574
413	0.6384358025
414	0.638430684
415	0.6384255206
416	0.6384099183
417	0.638403735
418	0.6383933133
419	0.6383849157
420	0.6383826933
421	0.6383762057
422	0.6383657987
423	0.6383629059
424	0.6383585618
425	0.6383455186
426	0.6383431246
427	0.6383354604
428	0.6383298416
429	0.6383214038
430	0.6383143882
431	0.6383082269
432	0.6383034562
433	0.6382986437
434	0.6382954288
435	0.6382906752
436	0.6382814286
437	0.6382761275
438	0.6382707779
439	0.6382649734
440	0.6382584266
441	0.6382519628
442	0.6382383465
443	0.6382335395
444	0.6382302903
445	0.6382235545
446	0.6382176628
447	0.6382055295
448	0.6381985628
449	0.6381914686
450	0.638188117
451	0.6381859169
452	0.6381794044
453	0.6381757972
454	0.6381700514
455	0.6381662369
456	0.6381581532
457	0.6381499927
458	0.6381384914
459	0.6381317935
460	0.6381304359
461	0.6381248858
462	0.6381246171
463	0.6381208639
464	0.6381140809
465	0.6381067097
466	0.6381048922
467	0.6380982135
468	0.6380936932
469	0.6380919034
470	0.638081897
471	0.638082148
472	0.6380762689
473	0.6380731275
474	0.6380661924
475	0.6380611993
476	0.6380611651
477	0.6380569336
478	0.6380560637
479	0.6380512119
480	0.6380450413
481	0.6380357553
482	0.6380316342
483	0.6380248431
484	0.6380192106
485	0.6380156827
486	0.6380083374
487	0.6380025673
488	0.6379950825
489	0.6379921273
490	0.6379846234
491	0.6379814559
492	0.6379785004
493	0.637975403
494	0.6379694149
495	0.6379613666
496	0.6379500265
497	0.6379426139
498	0.6379417829
499	0.6379372336
500	0.6379301292
501	0.6379230622
502	0.6379169808
503	0.6379155924
504	0.6379099399
505	0.6378971098
506	0.6378947196
507	0.6378805489
508	0.6378752557
509	0.6378717574
510	0.6378669936
511	0.6378572756
512	0.6378534934
513	0.6378520172
514	0.637851999
515	0.6378497503
516	0.6378418115
517	0.6378368082
518	0.6378287603
519	0.6378213573
520	0.6378192074
521	0.6378089411
522	0.6378075731
523	0.6377999202
524	0.6377912425
525	0.637783744
526	0.6377798795
527	0.6377695272
528	0.6377669412
529	0.6377575262
530	0.6377550922
531	0.6377475688
532	0.6377430071
533	0.6377408681
534	0.6377350371
535	0.6377317579
536	0.6377276342
537	0.6377267746
538	0.6377236567
539	0.637715587
540	0.6377145076
541	0.6377132993
542	0.6377120051
543	0.637704228
544	0.6376976397
545	0.637693174
546	0.6376908679
547	0.6376887792
548	0.6376783038
549	0.6376758762
550	0.6376664697
551	0.6376641291
552	0.6376580997
553	0.637651494
554	0.6376456352
555	0.6376380568
556	0.6376342526
557	0.6376324937
558	0.6376293521
559	0.6376220821
560	0.637616596
561	0.637613845
562	0.6376052391
563	0.6375967235
564	0.6375861862
565	0.637577421
566	0.6375710742
567	0.6375699219
568	0.6375627587
569	0.637561432
570	0.6375544115
571	0.637545191
572	0.6375393523
573	0.6375352382
574	0.6375294361
575	0.637524776
576	0.6375163588
577	0.6375042717
578	0.6375042914
579	0.637502332
580	0.6374946944
581	0.637492072
582	0.6374879723
583	0.6374815282
584	0.6374777935
585	0.6374744633
586	0.6374680335
587	0.6374605486
588	0.6374568632
589	0.6374499317
590	0.6374412688
591	0.6374338808
592	0.6374290518
593	0.6374247718
594	0.6374160215
595	0.637412901
596	0.637403071
597	0.6373976214
598	0.6373932825
599	0.6373888546
600	0.6373877401
601	0.6373840019
602	0.6373788474
603	0.6373767962
604	0.637373308
605	0.6373684898
606	0.6373656028
607	0.6373622166
608	0.6373601689
609	0.6373565435
610	0.6373524343
611	0.6373436408
612	0.6373372832
613	0.6373320458
614	0.6373258531
615	0.6373217931
616	0.6373149378
617	0.6373085084
618	0.6373042866
619	0.6373011137
620	0.6372965306
621	0.6372907943
622	0.6372811738
623	0.6372789064
624	0.637271418
625	0.6372648191
626	0.6372585453
627	0.6372563228
628	0.6372537604
629	0.6372476538
630	0.6372432371
631	0.637240833
632	0.6372397418
633	0.6372322265
634	0.6372254831
635	0.6372215733
636	0.6372190473
637	0.6372142499
638	0.6372014803
639	0.6371983631
640	0.6371900225
641	0.6371832259
642	0.6371787908
643	0.6371755901
644	0.637173611
645	0.6371615274
646	0.637152724
647	0.637145228
648	0.6371403001
649	0.6371316908
650	0.6371291811
651	0.6371250633
652	0.6371204268
653	0.6371100745
654	0.6371038721
655	0.6370979085
656	0.6370918847
657	0.6370845847
658	0.6370815073
659	0.6370815953
660	0.6370788555
661	0.6370750647
662	0.6370711367
663	0.6370620681
664	0.63705573
665	0.6370457439
666	0.6370405798
667	0.6370329523
668	0.6370276417
669	0.637022199
670	0.6370085668
671	0.6370061147
672	0.6370015069
673	0.636999802
674	0.6369972271
675	0.6369944042
676	0.6369950962
677	0.6369878446
678	0.6369882997
679	0.6369868976
680	0.636982472
681	0.6369791199
682	0.6369720111
683	0.6369649091
684	0.6369585565
685	0.6369501678
686	0.6369471677
687	0.6369439934
688	0.6369423472
689	0.6369398742
690	0.6369348434
691	0.6369315011
692	0.6369332393
693	0.6369312653
694	0.6369276055
695	0.6369205742
696	0.636913519
697	0.6369102524
698	0.6369083661
699	0.6369031288
700	0.6369013123
701	0.6369001397
702	0.636892938
703	0.6368865222
704	0.6368825303
705	0.6368783726
706	0.6368703364
707	0.6368658667
708	0.6368556062
709	0.6368501174
710	0.6368494287
711	0.6368493945
712	0.6368448456
713	0.6368410534
714	0.6368330038
715	0.636831531
716	0.6368315945
717	0.6368225506
718	0.6368205372
719	0.6368144332
720	0.636806886
721	0.6368047214
722	0.6367968694
723	0.636790264
724	0.636785167
725	0.636776879
726	0.6367725402
727	0.6367651829
728	0.6367573417
729	0.6367514293
730	0.6367514684
731	0.6367473499
732	0.6367392375
733	0.6367299257
734	0.6367273237
735	0.6367208459
736	0.6367167851
737	0.6367094651
738	0.6367060561
739	0.6367009758
740	0.6366966717
741	0.6366912654
742	0.636682963
743	0.6366797768
744	0.6366775651
745	0.6366706553
746	0.6366599264
747	0.6366579429
748	0.6366564235
749	0.6366511519
750	0.6366475963
751	0.6366416356
752	0.6366392431
753	0.6366372833
754	0.6366302736
755	0.636624492
756	0.6366199637
757	0.6366137915
758	0.6366088535
759	0.6366003325
760	0.6365955165
761	0.6365923354
762	0.6365907573
763	0.6365825784
764	0.6365809904
765	0.6365723333
766	0.6365684784
767	0.6365629461
768	0.6365600107
769	0.6365548669
770	0.6365543696
771	0.6365527251
772	0.6365424497
773	0.636540472
774	0.636536945
775	0.6365309837
776	0.636523252
777	0.6365220884
778	0.6365188543
779	0.6365127629
780	0.6365091753
781	0.6365009576
782	0.6364977811
783	0.6364932136
784	0.6364897649
785	0.6364878596
786	0.6364857868
787	0.6364788196
788	0.63647391
789	0.6364689588
790	0.6364663033
791	0.6364607149
792	0.6364572359
793	0.6364555108
794	0.6364504776
795	0.6364467106
796	0.6364413405
797	0.6364319745
798	0.6364287677
799	0.6364250033
800	0.6364188276
801	0.636415036
802	0.6364121427
803	0.6364091037
804	0.6364063409
805	0.6363958687
806	0.636393534
807	0.636388137
808	0.6363815478
809	0.6363701795
810	0.6363648834
811	0.6363558189
812	0.6363527946
813	0.6363429166
814	0.636337054
815	0.6363297152
816	0.636327113
817	0.636320449
818	0.6363170939
819	0.6363118083
820	0.6363088372
821	0.6363037196
822	0.6363034221
823	0.6362999756
824	0.6362954078
825	0.6362915291
826	0.6362900251
827	0.6362834681
828	0.636280132
829	0.6362755052
830	0.636270399
831	0.6362663154
832	0.6362663004
833	0.6362619764
834	0.6362572082
835	0.6362538902
836	0.6362445682
837	0.6362408167
838	0.6362348253
839	0.6362310007
840	0.6362242069
841	0.6362240848
842	0.6362156577
843	0.6362105177
844	0.636204132
845	0.636201479
846	0.636199383
847	0.6361976288
848	0.6361925396
849	0.636186735
850	0.6361820796
851	0.6361760801
852	0.6361711601
853	0.636167604
854	0.6361640135
855	0.6361615312
856	0.6361585055
857	0.6361573829
858	0.636153481
859	0.636149484
860	0.6361453519
861	0.6361429722
862	0.63614071
863	0.6361387662
864	0.6361365519
865	0.6361343621
866	0.6361311131
867	0.63612352
868	0.6361212735
869	0.6361120745
870	0.6361097064
871	0.6361066035
872	0.6361013616
873	0.6360958744
874	0.6360899131
875	0.6360896791
876	0.6360898389
877	0.636079464
878	0.6360775173
879	0.6360758146
880	0.6360756729
881	0.6360665907
882	0.6360621679
883	0.6360596319
884	0.6360549738
885	0.6360515387
886	0.6360445637
887	0.6360399074
888	0.6360367453
889	0.6360343567
890	0.6360298513
891	0.6360210722
892	0.6360150519
893	0.6360095152
894	0.6360063292
895	0.6359995153
896	0.6359972451
897	0.6359959239
898	0.6359930902
899	0.6359897918
900	0.6359819674
901	0.6359752833
902	0.6359703866
903	0.6359654938
904	0.6359579449
905	0.6359531635
906	0.6359485199
907	0.6359464583
908	0.6359436353
909	0.6359410939
910	0.6359398448
911	0.635935467
912	0.6359322879
913	0.6359206696
914	0.635909416
915	0.6359034635
916	0.635898596
917	0.6358973502
918	0.6358915662
919	0.6358864658
920	0.6358770504
921	0.6358669937
922	0.6358629974
923	0.6358557168
924	0.635852568
925	0.6358473983
926	0.635842186
927	0.6358340773
928	0.635832806
929	0.6358282333
930	0.6358282186
931	0.6358278424
932	0.6358238979
933	0.6358158099
934	0.6358101901
935	0.6358074541
936	0.6358087597
937	0.635807333
938	0.6358056473
939	0.6358012649
940	0.6357964578
941	0.6357938097
942	0.6357924076
943	0.6357909312
944	0.6357871494
945	0.6357833386
946	0.6357837296
947	0.6357786608
948	0.6357780509
949	0.6357697184
950	0.6357654271
951	0.6357540867
952	0.6357515173
953	0.6357449605
954	0.6357413841
955	0.6357353147
956	0.6357325391
957	0.6357263123
958	0.6357248312
959	0.6357195418
960	0.6357161365
961	0.6357131129
962	0.635708706
963	0.6357022277
964	0.6356947331
965	0.635690696
966	0.6356849266
967	0.63567724
968	0.6356743219
969	0.6356707609
970	0.6356570081
971	0.635654728
972	0.6356520844
973	0.6356499053
974	0.6356447233
975	0.6356420452
976	0.6356411217
977	0.6356401735
978	0.6356401629
979	0.635630974
980	0.6356301237
981	0.6356258636
982	0.6356199715
983	0.6356170061
984	0.6356142795
985	0.635612453
986	0.6356031709
987	0.6355986176
988	0.6355932429
989	0.6355901795
990	0.6355811548
991	0.6355788147
992	0.6355772169
993	0.6355734539
994	0.6355703411
995	0.6355648741
996	0.6355631098
997	0.635558048
998	0.6355516185
999	0.6355436347
